datetime,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
2022-12-12 09:00:00.000,3.0,2.0,4.0,75.93,7242.1,212.1,750.0,6992.0,7216.55,750,36500,1625.0,2.4,2.45,25.0,0.05,2.45,51.31,87801.0,9766.0,11351.0
2022-12-12 09:05:03.600,16.0,0.0,0.0,0.0,6586.4,3.75,150.0,6582.75,6758.0,750,37000,3400.0,2.45,2.5,250.0,-0.25,2.5,47.88,38171.0,1755.0,4375.0
2022-12-12 09:10:07.200,0.0,0.0,0.0,0.0,0.0,0.0,150.0,6085.6,6268.2,750,37500,525.0,2.7,2.8,25.0,-0.35,2.7,44.72,23243.0,797.0,1227.0
2022-12-12 09:15:10.800,7.0,0.0,1.0,59.9,5738.1,180.45,150.0,5588.75,5719.6,750,38000,275.0,2.95,3.15,2950.0,-0.75,2.95,41.59,45981.0,3043.0,5108.0
2022-12-12 09:20:14.400,4.0,0.0,0.0,0.0,5025.35,0.0,150.0,5082.8,5221.65,750,38500,200.0,3.45,3.7,1200.0,-0.25,3.7,39.04,31505.0,190.0,3802.0
2022-12-12 09:25:18.000,38.0,5.0,5.0,0.0,4551.7,-7.35,150.0,4589.1,4718.65,750,39000,900.0,4.0,4.2,50.0,-0.7,4.0,35.79,80232.0,-1269.0,10018.0
2022-12-12 09:30:21.600,42.0,35.0,42.0,0.0,4055.05,22.05,150.0,4097.05,4220.1,750,39500,400.0,4.0,4.95,4375.0,-0.35,4.95,33.04,99271.0,4071.0,9428.0
2022-12-12 09:35:25.200,1.0,0.0,1.0,0.0,3991.65,197.6,750.0,3911.95,4164.4,750,39600,1200.0,3.55,5.6,75.0,-0.8,4.55,31.98,8607.0,303.0,565.0
2022-12-12 09:40:28.800,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3830.55,4022.9,750,39700,475.0,3.65,5.9,500.0,-1.95,3.65,30.44,9135.0,-46.0,303.0
2022-12-12 09:45:32.400,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3699.95,4213.0,750,39800,1175.0,3.65,0.0,0.0,0.25,5.95,31.57,10303.0,427.0,574.0
2022-12-12 09:50:36.000,0.0,0.0,0.0,0.0,0.0,0.0,750.0,3634.15,3865.3,750,39900,3600.0,4.15,5.5,100.0,-0.35,5.5,30.52,12339.0,691.0,868.0
2022-12-12 09:55:39.600,140.0,12.0,32.0,0.0,3657.6,90.25,150.0,3555.15,3719.75,750,40000,150.0,4.65,5.5,575.0,-0.65,5.5,29.78,210620.0,3996.0,33226.0
2022-12-12 10:00:43.200,4.0,0.0,0.0,0.0,3426.6,0.0,150.0,3473.55,3669.55,750,40100,900.0,4.25,5.5,100.0,-1.05,4.9,28.62,10401.0,454.0,718.0
2022-12-12 10:05:46.800,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3387.0,3589.0,750,40200,900.0,4.2,5.75,50.0,-2.25,4.25,27.4,13164.0,284.0,1360.0
2022-12-12 10:10:50.400,12.0,0.0,5.0,37.95,3440.0,915.0,75.0,3305.05,3454.1,750,40300,475.0,4.3,6.25,225.0,-0.5,6.25,28.03,20270.0,-65.0,938.0
2022-12-12 10:15:54.000,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3162.0,3405.35,750,40400,850.0,3.05,5.35,25.0,-1.7,5.35,26.73,20811.0,21.0,1373.0
2022-12-12 10:20:57.600,62.0,12.0,23.0,0.0,3072.95,-25.75,150.0,3089.1,3132.8,25,40500,700.0,5.6,5.95,425.0,-1.95,5.6,26.15,234672.0,-8021.0,21995.0
2022-12-12 10:26:01.200,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2945.4,3132.15,750,40600,1000.0,5.05,7.65,75.0,-2.75,4.95,25.0,31216.0,-797.0,1925.0
2022-12-12 10:31:04.800,1.0,0.0,0.0,0.0,2860.0,0.0,25.0,2887.3,3051.35,750,40700,150.0,5.45,8.1,5000.0,-2.5,5.45,24.58,27117.0,584.0,2514.0
2022-12-12 10:36:08.400,1.0,0.0,0.0,0.0,2610.0,0.0,150.0,2791.65,2899.35,750,40800,250.0,5.45,7.65,250.0,0.3,8.5,25.36,31800.0,678.0,2114.0
2022-12-12 10:41:12.000,1.0,1.0,1.0,0.0,2658.85,722.65,25.0,2695.9,2869.05,750,40900,900.0,4.05,8.2,250.0,-0.65,8.15,24.44,45494.0,7251.0,9390.0
2022-12-12 10:46:15.600,595.0,1.0,67.0,0.0,2634.6,46.5,750.0,2531.6,2717.85,750,41000,13175.0,6.45,7.85,75.0,-2.7,6.45,22.88,363587.0,14669.0,45276.0
2022-12-12 10:51:19.200,3.0,0.0,0.0,0.0,2123.6,0.0,25.0,2504.35,2653.5,750,41100,250.0,5.9,10.0,50.0,-3.4,6.15,21.98,47247.0,1021.0,3060.0
2022-12-12 10:56:22.800,11.0,1.0,1.0,28.67,2536.8,328.8,225.0,2355.5,2523.2,800,41200,25.0,6.5,9.7,75.0,-0.5,9.4,22.59,70353.0,1112.0,8130.0
2022-12-12 11:01:26.400,22.0,5.0,7.0,0.0,2325.45,-8.05,750.0,2232.15,2420.65,750,41300,225.0,6.5,8.0,75.0,-4.15,6.55,20.66,53227.0,213.0,5147.0
2022-12-12 11:06:30.000,5.0,2.0,2.0,0.0,2200.95,50.95,750.0,2142.4,2343.25,775,41400,750.0,7.8,9.2,25.0,-3.65,8.0,20.49,79455.0,-269.0,4911.0
2022-12-12 11:11:33.600,826.0,-10.0,325.0,0.0,2127.2,24.75,2025.0,2041.1,2135.75,100,41500,1200.0,9.4,9.45,575.0,-3.2,9.4,20.21,398498.0,3265.0,41720.0
2022-12-12 11:16:37.200,69.0,7.0,10.0,0.0,2006.6,-4.9,250.0,1994.75,2044.0,1175,41600,225.0,8.8,9.3,25.0,-3.9,9.3,19.38,111325.0,311.0,5252.0
2022-12-12 11:21:40.800,22.0,12.0,16.0,0.0,1976.5,88.2,200.0,1870.9,1936.65,100,41700,100.0,9.2,10.3,275.0,-5.45,8.95,18.47,122512.0,4399.0,10402.0
2022-12-12 11:26:44.400,17.0,1.0,5.0,0.0,1812.6,3.5,200.0,1816.35,1844.35,75,41800,225.0,9.0,11.1,100.0,-4.55,11.05,18.29,136818.0,-2021.0,8257.0
2022-12-12 11:31:48.000,21.0,1.0,9.0,0.0,1789.4,82.75,200.0,1720.85,1745.8,1175,41900,25.0,11.5,12.5,250.0,-4.8,12.5,17.85,104327.0,1704.0,6732.0
2022-12-12 11:36:51.600,3004.0,-643.0,2999.0,0.0,1640.9,30.95,125.0,1624.7,1638.0,25,42000,100.0,12.7,13.8,250.0,-6.8,12.8,17.08,534665.0,5514.0,51963.0
