OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
3;2;4;75.93;7242.1;212.1;750;6992;7216.55;750;36500;1625;2.4;2.45;25;0.05;2.45;51.31;87801;9766;11351
16;-;-;-;6586.4;3.75;150;6582.75;6758;750;37000;3400;2.45;2.5;250;-0.25;2.5;47.88;38171;1755;4375
-;-;-;-;-;-;150;6085.6;6268.2;750;37500;525;2.7;2.8;25;-0.35;2.7;44.72;23243;797;1227
7;-;1;59.9;5738.1;180.45;150;5588.75;5719.6;750;38000;275;2.95;3.15;2950;-0.75;2.95;41.59;45981;3043;5108
4;-;-;-;5025.35;-;150;5082.8;5221.65;750;38500;200;3.45;3.7;1200;-0.25;3.7;39.04;31505;190;3802
38;5;5;-;4551.7;-7.35;150;4589.1;4718.65;750;39000;900;4;4.2;50;-0.7;4;35.79;80232;-1269;10018
42;35;42;-;4055.05;22.05;150;4097.05;4220.1;750;39500;400;4;4.95;4375;-0.35;4.95;33.04;99271;4071;9428
1;-;1;-;3991.65;197.6;750;3911.95;4164.4;750;39600;1200;3.55;5.6;75;-0.8;4.55;31.98;8607;303;565
-;-;-;-;-;-;750;3830.55;4022.9;750;39700;475;3.65;5.9;500;-1.95;3.65;30.44;9135;-46;303
-;-;-;-;-;-;750;3699.95;4213;750;39800;1175;3.65;-;-;0.25;5.95;31.57;10303;427;574
-;-;-;-;-;-;750;3634.15;3865.3;750;39900;3600;4.15;5.5;100;-0.35;5.5;30.52;12339;691;868
140;12;32;-;3657.6;90.25;150;3555.15;3719.75;750;40000;150;4.65;5.5;575;-0.65;5.5;29.78;210620;3996;33226
4;-;-;-;3426.6;-;150;3473.55;3669.55;750;40100;900;4.25;5.5;100;-1.05;4.9;28.62;10401;454;718
-;-;-;-;-;-;150;3387;3589;750;40200;900;4.2;5.75;50;-2.25;4.25;27.4;13164;284;1360
12;-;5;37.95;3440;915;75;3305.05;3454.1;750;40300;475;4.3;6.25;225;-0.5;6.25;28.03;20270;-65;938
