OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
3;-;-;-;7242.1;-;750;7111.8;7305.5;900;36500;2675;2.3;2.35;1800;-0.1;2.3;72.43;86686;11263;22614
16;-;-;-;6586.4;3.75;75;6654.85;6771.15;25;37000;825;2.5;2.85;300;-;2.5;68.03;68163;1189;5564
-;-;-;-;-;-;750;6128.45;6310.95;300;37500;175;2.5;3.2;25;-0.2;2.5;63.07;37339;372;1599
7;-;-;-;5738.1;-;50;5704.15;5816.5;200;38000;2700;2.85;3.15;75;-0.15;2.85;58.94;69079;536;5644
4;-;-;-;5025.35;-;750;5120;5289.95;25;38500;75;3.15;3.8;500;-0.15;3.25;54.76;46103;4306;8108
38;-;-;-;4551.7;-;1175;4663.1;4768.5;50;39000;1725;3.3;3.5;1400;-0.55;3.3;49.86;86677;233;10251
42;-;-;-;4055.05;-;2100;4145.4;4262.95;25;39500;8425;3.55;3.7;1325;-0.55;3.7;45.48;95364;1699;11127
1;-;-;-;3991.65;-;750;3967.45;4267.55;750;39600;50;2.2;4;75;-0.15;3.95;44.82;10000;-197;368
-;-;-;-;-;-;750;3920.15;4107.5;900;39700;100;3.7;5.35;100;-0.3;4.05;43.94;9755;49;352
-;-;-;-;-;-;750;3753.35;4211.15;500;39800;100;3.65;-;-;-0.35;4.1;42.99;9690;11;585
-;-;-;-;-;-;750;3670.2;3911.5;900;39900;1000;3.6;4.1;500;-1;3.6;41.33;11394;-432;436
142;2;29;-;3725;63.65;100;3720;3725.5;75;40000;50;3.85;3.95;25;-0.9;3.95;40.78;239282;-3239;29987
4;-;1;64.28;3714.35;287.75;750;3520.9;3696;150;40100;50;4.1;5.25;50;-0.65;4.1;39.95;10604;378;1096
-;-;-;-;-;-;25;3475.75;3654.05;750;40200;175;4.1;4.85;750;-0.85;4.1;38.94;16449;389;1749
12;-;-;-;3440;-;750;3322.45;3505.25;25;40300;225;4.05;4.8;75;-0.95;4.05;37.87;19185;750;1688
-;-;-;-;-;-;750;3258.9;3454.25;750;40400;1450;4.5;5;275;-0.25;4.75;37.6;26210;62;1435
62;-;8;-;3225;152.05;100;3220;3291.3;1075;40500;100;4.75;4.85;50;-0.35;4.85;36.67;248353;10979;32974
-;-;-;-;-;-;750;3045.65;3191.95;25;40600;75;4.9;5.35;50;-0.45;4.9;35.68;32632;1045;2970
1;-;-;-;2860;-;25;2999.4;3110.45;50;40700;450;5.1;5.85;50;-0.7;5.1;34.83;29714;-1019;1495
1;-;-;-;2610;-;775;2848.9;3010.25;50;40800;100;5.2;5.95;300;-0.55;5.4;34.05;38895;358;2472
1;-;-;-;2658.85;-;750;2772.1;2902.45;50;40900;650;4.3;5.9;250;-0.95;5.45;33.05;60617;-4772;4618
576;-19;51;-;2694.8;59.2;150;2706.9;2730.35;75;41000;1000;5.7;6.1;150;-0.5;6.1;32.5;415336;26390;71666
3;-;-;-;2123.6;-;900;2539.7;2710.55;50;41100;75;5.8;6.3;625;-0.55;6.1;31.43;50631;494;3554
11;-;1;-;2450;-86.8;175;2490.7;2529.6;75;41200;250;5.8;6.3;25;-0.45;6.4;30.58;59267;-84;8046
22;-;-;-;2325.45;-;775;2367.7;2487.3;50;41300;150;6.5;6.85;100;-0.45;6.85;29.8;56142;240;5387
5;-;-;-;2200.95;-;1000;2240.1;2410.95;50;41400;175;6.65;7.45;150;-1.15;6.65;28.59;70504;1207;6118
824;-2;279;-;2226.2;94.2;125;2218.05;2226;25;41500;325;7.2;7.45;2700;-1.15;7.45;27.98;394539;34397;76117
69;-;14;-;2106.7;100.1;800;2094.5;2168.9;150;41600;500;7.3;8.05;150;-0.7;8.05;27.2;85067;2205;7457
29;7;10;-;2027.6;51.1;1275;1996.1;2114.2;1350;41700;75;8;8.25;500;-1.4;8;26.07;90005;620;11022
23;6;29;-;1928.85;116.25;50;1919.4;1945.75;250;41800;125;8.75;9.95;300;-1.45;8.75;25.32;128061;1802;10059
18;-3;7;-;1833.4;76.3;200;1800.5;1843.9;200;41900;100;9.2;10;25;-2.15;9.2;24.39;109761;3933;10665
2838;-166;1760;-;1726.4;78.3;175;1726.4;1730.35;100;42000;150;10;10.25;250;-2.85;10.05;23.59;487518;25244;77207
257;1;53;24.58;1660;124.55;150;1592.2;1634.15;50;42100;100;11.05;11.65;400;-2.95;11.05;22.81;129070;3095;9483
225;19;256;-;1531.95;141.95;25;1528;1541.55;150;42200;25;9.55;11.8;25;-3.9;11.8;21.89;185108;689;17878
505;59;463;-;1433.8;83.2;250;1395.55;1435.2;125;42300;600;12.65;13.5;300;-4.65;13.05;21.08;229721;5638;24028
384;66;304;-;1338.55;82.15;25;1328.15;1342.05;150;42400;75;14;15.55;275;-6;15.3;20.49;260132;-10;25854
1834;-376;11572;-;1231.9;85.55;100;1230.2;1235;25;42500;275;16.65;17.45;75;-7.35;17.5;19.77;570669;12495;66878
453;23;1942;-;1134.55;49.65;50;1132.5;1140;100;42600;375;18.7;19.95;150;-10.4;18.7;18.75;352127;12342;38014
1081;111;3586;-;1041;67.8;50;1041;1044.65;25;42700;25;22.25;23.5;25;-9.7;23.55;18.37;369261;2330;21066
1887;843;7109;11.68;947.2;87.4;125;939.7;948.8;50;42800;375;26.7;28;2575;-14.95;26.7;17.53;555897;10083;34198
1675;660;30938;10.81;847.7;57.7;25;846.4;852.65;25;42900;25;31.4;31.8;275;-19.05;31.8;16.87;658540;7179;32856
18791;-302;150334;12.5;758;60;25;757;758;125;43000;25;39;39.9;25;-22.95;38.35;16.24;1524857;19678;84814
4286;-811;74245;12.64;667;58.95;50;661.4;667;300;43100;25;47.05;49.95;200;-27.05;47.05;15.67;969938;25225;51956
7766;400;243589;12.88;580.95;56.15;25;578.5;580;50;43200;575;61.05;61.25;25;-28.75;61.05;15.39;1315180;18130;62415
15530;-1994;545677;12.7;495.75;47.75;25;494.5;496;150;43300;75;77;77.9;25;-36.2;77.55;15.01;1657952;14103;59811
19573;-504;1130245;12.49;415;40.6;25;415.05;418;50;43400;50;97.6;98.35;50;-47;98.35;14.66;2215887;28786;67997
58360;-6143;3155620;12.47;342.5;31.95;25;342.45;345;275;43500;300;125;127;2750;-53.35;127;14.51;3486505;39321;113323
51637;-427;2704978;12.44;277;20.9;900;277;279.9;600;43600;925;159;160.6;25;-59.15;159;14.19;2938117;21121;66074
97177;18345;3558813;12.52;221;13.4;225;220;220.95;50;43700;425;200;202.25;625;-60.6;201;14.09;3260607;42453;78142
81658;11655;2953276;12.31;168.3;5.3;100;168.8;170.4;250;43800;200;249.65;252;175;-67.4;252;14.12;1801101;19450;40106
53305;14260;1767542;12.34;127.5;2.5;125;127.5;129;225;43900;125;307;308.35;600;-72.3;308.35;14.03;835402;7378;16035
97341;8555;2538973;12.27;93;-1.8;25;94;94.95;200;44000;25;374;374.5;75;-75.6;374.05;14.11;829975;8066;22948
44302;12614;1231458;12.32;67.15;-4.35;2775;67.15;67.95;25;44100;25;445.35;449;650;-77.95;445.4;14.15;128534;1322;4216
53991;9864;1275457;12.41;47.85;-5.9;250;47;48;25;44200;300;525;531.75;25;-77.85;529.55;14.81;73362;678;4687
48319;11254;1004675;12.4;32.5;-8.3;425;32.5;33.4;25;44300;25;611.05;613;25;-77.1;613;15.1;24091;616;2409
38089;4473;771748;12.63;23.05;-7.4;250;23;23.45;600;44400;425;699.95;707.15;25;-69.65;699.15;15.31;9449;348;2131
62933;10286;1131516;13.04;17.2;-7;50;17.2;18;925;44500;50;793.75;801.95;25;-72;800;16.96;18350;-526;1948
35705;8839;557308;13.41;12.7;-6.05;200;12.7;13.5;950;44600;25;889.3;898.8;100;-56.5;894.45;17.78;3580;1065;1493
19889;3271;430300;14.13;10.7;-4.4;475;10.7;10.75;25;44700;250;977.15;995.8;75;-60.1;993.7;19.14;784;74;367
26374;6687;447417;14.94;9.45;-3.25;50;8.85;9.45;225;44800;150;1083.4;1099.5;75;-48.4;1086;19.42;518;28;435
14119;3061;212340;15.47;7.65;-3.5;100;7.6;8.2;50;44900;225;1174.7;1190.55;25;-90.5;1190.55;21.49;198;1;75
74939;19538;637139;16.31;7;-3.05;3375;7;7.45;600;45000;25;1285;1292.65;75;-83.35;1285.45;22.01;1777;44;624
8735;-271;130801;17.14;6.45;-2.4;750;6.45;7.05;600;45100;75;1313.9;1456.2;750;-44.2;1380.6;22.43;20;3;29
10580;711;125655;18.02;6.1;-1.95;100;6.05;6.4;125;45200;225;1479.75;1552.65;750;-;1619.75;-;-;-;11
13540;7081;106480;18.79;5.6;-2.15;150;5.6;6.15;50;45300;375;1549.45;1614.55;1500;-90.6;1542.85;-;9;1;6
5329;1286;111484;19.84;5.7;-1.45;100;5.35;6.3;150;45400;1825;1636.7;1753.1;750;-;1828;-;-;-;6
59558;-1427;460438;20.37;4.9;-2.25;1200;4.85;5.3;50;45500;150;1747.4;1826.3;750;-46.85;1785;28.32;61;5;40
7051;2086;74556;21.4;5;-1.6;525;4.85;5.05;100;45600;50;1811.9;1922.45;750;-;2020.95;-;-;-;7
61810;-2936;403155;24.41;3.95;-2.05;250;3.95;4.2;250;46000;200;2211.05;2323.05;750;-;-;-;-;-;-
32205;2535;241370;28.16;3.2;-2;75;3.2;3.3;4550;46500;1150;2683.65;2825.3;750;-;2903.35;-;-;-;4
27015;3752;146027;32.13;2.95;-1.75;1400;2.85;2.95;900;47000;100;3164.1;3326.85;750;-;3393.2;-;-;-;22
13425;3003;82648;35.82;2.65;-1.35;175;2.65;2.75;1750;47500;125;3638.75;3839.4;750;-;3933.5;-;-;-;34
13818;2490;81381;39.66;2.55;-1.05;1800;2.6;2.65;1925;48000;300;4185.7;4353.35;750;-;4402.65;-;-;-;18
34867;6198;119270;43.56;2.55;-0.6;7400;2.5;2.55;400;48500;300;4688.4;4845.15;750;-204.3;4670.9;-;3;-;100
